date,title,desc,theme,month,text
2025-06-09,"테더 ""IPO 계획 없다""…서클 상장 직후 발표 - 디지털애셋","테더 ""IPO 계획 없다""…서클 상장 직후 발표&nbsp;&nbsp;디지털애셋",스테이블코인,2025-06,"테더 ""IPO 계획 없다""…서클 상장 직후 발표 - 디지털애셋 테더 ""IPO 계획 없다""…서클 상장 직후 발표&nbsp;&nbsp;디지털애셋"
2025-06-06,서클 상장 첫날 주가 168% 급등…초기 목표 시총의 두 배 달성 - 스페셜타임스,서클 상장 첫날 주가 168% 급등…초기 목표 시총의 두 배 달성&nbsp;&nbsp;스페셜타임스,스테이블코인,2025-06,서클 상장 첫날 주가 168% 급등…초기 목표 시총의 두 배 달성 - 스페셜타임스 서클 상장 첫날 주가 168% 급등…초기 목표 시총의 두 배 달성&nbsp;&nbsp;스페셜타임스
2025-06-14,"글로벌 플랫폼 업홀드, XRP 스테이킹으로 생태계 활성화 '촉각' - 핀포인트뉴스","글로벌 플랫폼 업홀드, XRP 스테이킹으로 생태계 활성화 '촉각'&nbsp;&nbsp;핀포인트뉴스",스테이블코인,2025-06,"글로벌 플랫폼 업홀드, XRP 스테이킹으로 생태계 활성화 '촉각' - 핀포인트뉴스 글로벌 플랫폼 업홀드, XRP 스테이킹으로 생태계 활성화 '촉각'&nbsp;&nbsp;핀포인트뉴스"
2025-06-26,"'148% 폭등' 카카오페이, 이틀 만에 또 거래정지 - 네이트","'148% 폭등' 카카오페이, 이틀 만에 또 거래정지&nbsp;&nbsp;네이트",스테이블코인,2025-06,"'148% 폭등' 카카오페이, 이틀 만에 또 거래정지 - 네이트 '148% 폭등' 카카오페이, 이틀 만에 또 거래정지&nbsp;&nbsp;네이트"
2025-06-05,"서클 IPO, 투자자 주문 폭주…공모가 상향 전망 - 디지털투데이","서클 IPO, 투자자 주문 폭주…공모가 상향 전망&nbsp;&nbsp;디지털투데이",스테이블코인,2025-06,"서클 IPO, 투자자 주문 폭주…공모가 상향 전망 - 디지털투데이 서클 IPO, 투자자 주문 폭주…공모가 상향 전망&nbsp;&nbsp;디지털투데이"
2025-06-11,"일본 SBI, 서클 IPO에서 5000만달러 투자 - 디지털투데이","일본 SBI, 서클 IPO에서 5000만달러 투자&nbsp;&nbsp;디지털투데이",스테이블코인,2025-06,"일본 SBI, 서클 IPO에서 5000만달러 투자 - 디지털투데이 일본 SBI, 서클 IPO에서 5000만달러 투자&nbsp;&nbsp;디지털투데이"
2025-06-24,"서클, 시총 신기록 경신 행진…코인베이스 추월 임박 - 디지털투데이","서클, 시총 신기록 경신 행진…코인베이스 추월 임박&nbsp;&nbsp;디지털투데이",스테이블코인,2025-06,"서클, 시총 신기록 경신 행진…코인베이스 추월 임박 - 디지털투데이 서클, 시총 신기록 경신 행진…코인베이스 추월 임박&nbsp;&nbsp;디지털투데이"
2025-06-13,"케이뱅크, 스테이블코인 사업 본격화…오픈블록체인-DID협회 가입 - mhnse.com","케이뱅크, 스테이블코인 사업 본격화…오픈블록체인-DID협회 가입&nbsp;&nbsp;mhnse.com",스테이블코인,2025-06,"케이뱅크, 스테이블코인 사업 본격화…오픈블록체인-DID협회 가입 - mhnse.com 케이뱅크, 스테이블코인 사업 본격화…오픈블록체인-DID협회 가입&nbsp;&nbsp;mhnse.com"
2025-06-09,"카카오페이, 스테이블코인 기대에 상한가 ""5만원 돌파 앞두고 연고점 갱신"" - 블록미디어","카카오페이, 스테이블코인 기대에 상한가 ""5만원 돌파 앞두고 연고점 갱신""&nbsp;&nbsp;블록미디어",스테이블코인,2025-06,"카카오페이, 스테이블코인 기대에 상한가 ""5만원 돌파 앞두고 연고점 갱신"" - 블록미디어 카카오페이, 스테이블코인 기대에 상한가 ""5만원 돌파 앞두고 연고점 갱신""&nbsp;&nbsp;블록미디어"
2025-06-10,"NH투자증권 ""스테이블코인·토큰증권, 결제업종 반등 기회"" - tokenpost.kr","NH투자증권 ""스테이블코인·토큰증권, 결제업종 반등 기회""&nbsp;&nbsp;tokenpost.kr",스테이블코인,2025-06,"NH투자증권 ""스테이블코인·토큰증권, 결제업종 반등 기회"" - tokenpost.kr NH투자증권 ""스테이블코인·토큰증권, 결제업종 반등 기회""&nbsp;&nbsp;tokenpost.kr"
2025-06-17,"[저녁 뉴스브리핑] 민주당, 내달 디지털자산 혁신법 발의…스테이블코인 규제 강화 外 - tokenpost.kr","[저녁 뉴스브리핑] 민주당, 내달 디지털자산 혁신법 발의…스테이블코인 규제 강화 外&nbsp;&nbsp;tokenpost.kr",스테이블코인,2025-06,"[저녁 뉴스브리핑] 민주당, 내달 디지털자산 혁신법 발의…스테이블코인 규제 강화 外 - tokenpost.kr [저녁 뉴스브리핑] 민주당, 내달 디지털자산 혁신법 발의…스테이블코인 규제 강화 外&nbsp;&nbsp;tokenpost.kr"
2025-06-20,"NH투자 ""아모레퍼시픽, 중국 매출 반등…목표가↑"" - 연합뉴스","NH투자 ""아모레퍼시픽, 중국 매출 반등…목표가↑""&nbsp;&nbsp;연합뉴스",화장품,2025-06,"NH투자 ""아모레퍼시픽, 중국 매출 반등…목표가↑"" - 연합뉴스 NH투자 ""아모레퍼시픽, 중국 매출 반등…목표가↑""&nbsp;&nbsp;연합뉴스"
2025-06-20,눈썹염색 등 기능성화장품 부당광고 66건 적발…이상시 사용 중단 - 대한민국 정책브리핑,눈썹염색 등 기능성화장품 부당광고 66건 적발…이상시 사용 중단&nbsp;&nbsp;대한민국 정책브리핑,화장품,2025-06,눈썹염색 등 기능성화장품 부당광고 66건 적발…이상시 사용 중단 - 대한민국 정책브리핑 눈썹염색 등 기능성화장품 부당광고 66건 적발…이상시 사용 중단&nbsp;&nbsp;대한민국 정책브리핑
